Palabra(s),Tema,,,
A,Abecedario,,,
B,Abecedario,,,
C,Abecedario,,,
D,Abecedario,,,
E,Abecedario,,,
F,Abecedario,,,
G,Abecedario,,,
H,Abecedario,,,
I,Abecedario,,,
J,Abecedario,,,
K,Abecedario,,,
L,Abecedario,,,
LL,Abecedario,,,
M,Abecedario,,,
N,Abecedario,,,
Ñ,Abecedario,,,
O,Abecedario,,,
P,Abecedario,,,
Q,Abecedario,,,
R,Abecedario,,,
S,Abecedario,,,
T,Abecedario,,,
U,Abecedario,,,
V,Abecedario,,,
W,Abecedario,,,
X,Abecedario,,,
Y,Abecedario,,,
Z,Abecedario,,,
Hola,Saludos,https://youtu.be/ILxmuiSDjgU,https://youtu.be/JMQnWmiPyoE,
¿Cómo estás?,Saludos,,,
¿Qué pasó?,Saludos,,,
Bien,Saludos,,,
Mal,Saludos,,,
Gusto en conocerte,Saludos,,,
Nos vemos,Saludos,,,
Cuídate,Saludos,,,
¿Qué?,Preguntas,,,
¿Cómo?,Preguntas,,,
¿Cuándo?,Preguntas,,,
¿Dónde?,Preguntas,,,
¿Quién?,Preguntas,,,
¿Por qué?,Preguntas,,,
¿Cuántos?,Preguntas,,,
¿Cuáles?,Preguntas,,,
Mamá/Madre,Familia,,,
Papá/Padre,Familia,,,
Hijo,Familia,,,
Hija,Familia,,,
Hermana,Familia,,,
Hermano,Familia,,,
Prima,Familia,,,
Primo,Familia,,,
Abuela,Familia,,,
Abuelo,Familia,,,
Tío,Familia,,,
Tía,Familia,,,
Nieto,Familia,,,
Nieta,Familia,,,
Querer,Verbos,,,
Casa,Lugar,,,
